Scientific name,Status url,Primary common name,Class,Order,Family,Global conservation status rank,State conservation status rank,Federal protection,State protection,Species of greatest conservation need,Track status code,Animal / Plant,Guide url,NatureServe Explorer
Brachyopa daeckei,https://guides.nynhp.org/status/2.949962/,Black-tailed Sapeater,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G4G5,SH,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.949962/Brachyopa_daeckei/
Brachyopa diversa,https://guides.nynhp.org/status/2.949964/,Pale-banded Sapeater,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G4G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.949964/Brachyopa_diversa/
Brachyopa flavescens,https://guides.nynhp.org/status/2.949966/,Yellow Sapeater,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G5,SU,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.949966/Brachyopa_flavescens/
Brachyopa notata,https://guides.nynhp.org/status/2.950279/,Black-banded Sapeater,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G4G5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950279/Brachyopa_notata/
Brachyopa perplexa,https://guides.nynhp.org/status/2.950280/,Hairy-striped Sapeater,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G4G5,SU,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950280/Brachyopa_perplexa/
Brachyopa vacua,https://guides.nynhp.org/status/2.950283/,Yellow-spotted Sapeater,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G5,S1,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950283/Brachyopa_vacua/
Brachypalpus cyanogaster,https://guides.nynhp.org/status/2.950286/,Bluebottle Catkin Fly,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,GU,SU,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950286/Brachypalpus_cyanogaster/
Brachypalpus femorata,https://guides.nynhp.org/status/2.950287/,Orange Catkin Fly,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,GU,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950287/Brachypalpus_femorata/
Brachypalpus oarus,https://guides.nynhp.org/status/2.950288/,Eastern Catkin Fly,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950288/Brachypalpus_oarus/
Brachys howdeni,https://guides.nynhp.org/status/2.1272582/,,Insecta (Insects),"Coleoptera (Beetles, Weevils)",Buprestidae (Metallis Wood Boring or Jewel Beetles),GNR,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1272582/Brachys_howdeni/
Brachysomida bivittata,https://guides.nynhp.org/status/2.743040/,Double-lined Long-horned Beetle,Insecta (Insects),"Coleoptera (Beetles, Weevils)",Cerambycidae (Longhorn Beetles),GNR,SH,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.743040/Brachysomida_bivittata/
Brachythecium digastrum,https://guides.nynhp.org/status/2.124951/,Grass Moss,Bryopsida,Hypnales,Brachytheciaceae,G4?,S1,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.124951/Brachythecium_digastrum/
Brachythecium erythrorrhizon,https://guides.nynhp.org/status/2.123641/,Taiga Grass Moss,Bryopsida,Hypnales,Brachytheciaceae,G5,S1,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123641/Brachythecium_erythrorrhizon/
Brachythecium turgidum,https://guides.nynhp.org/status/2.125403/,Thick Grass Moss,Bryopsida,Hypnales,Brachytheciaceae,G5,S1,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125403/Brachythecium_turgidum/
Branta bernicla,https://guides.nynhp.org/status/2.103759/,Brant,Aves (Birds),Anseriformes (Waterfowl),Anatidae,G5,SNRN,,Protected Bird - Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103759/Branta_bernicla/
Branta canadensis,https://guides.nynhp.org/status/2.770965/,Canada Goose,Aves (Birds),Anseriformes (Waterfowl),Anatidae,G5,S5,,Protected Bird - Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.770965/Branta_canadensis/
Branta leucopsis,https://guides.nynhp.org/status/2.105836/,Barnacle Goose,Aves (Birds),Anseriformes (Waterfowl),Anatidae,G4G5,SNA,,Protected Bird - Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105836/Branta_leucopsis/
Brevoortia tyrannus,https://guides.nynhp.org/status/2.103478/,Atlantic Menhaden,Actinopterygii (Ray-finned Fishes),Clupeiformes (Anchovies and Herrings),Alosidae,G5,SNRN,,,Yes,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103478/Brevoortia_tyrannus/
Bromus nottowayanus,https://guides.nynhp.org/status/2.153576/,Satin Brome,Monocotyledoneae (Monocots),Cyperales,Poaceae (Grass Family),G4G5,S1S2,,Endangered,,Y,P,https://guides.nynhp.org/satin-brome/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153576/Bromus_nottowayanus/
Bruchia flexuosa,https://guides.nynhp.org/status/2.121412/,Bending Bruch's Moss,Bryopsida,Dicranales,Bruchiaceae,G4,S2,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121412/Bruchia_flexuosa/
Bruchia vogesiaca,https://guides.nynhp.org/status/2.127165/,Bruch's moss,Bryopsida,Dicranales,Bruchiaceae,G3G4,SH,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.127165/Bruchia_vogesiaca/
Bryum algovicum,https://guides.nynhp.org/status/2.126827/,Drooping Thread Moss,Bryopsida,Bryales,Bryaceae (bryum moss family),G5,S1,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.126827/Bryum_algovicum/
Bryum amblyodon,https://guides.nynhp.org/status/2.125589/,Blunt-toothed thread moss,Bryopsida,Bryales,Bryaceae (bryum moss family),G5?,SH,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125589/Bryum_amblyodon/
Bryum cyclophyllum,https://guides.nynhp.org/status/2.124146/,Oval-leaved Thread Moss,Bryopsida,Bryales,Bryaceae (bryum moss family),G4G5,S1,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.124146/Bryum_cyclophyllum/
Bryum gemmiparum,https://guides.nynhp.org/status/2.125619/,Bud-tipped Thread Moss,Bryopsida,Bryales,Bryaceae (bryum moss family),G3G5,SH,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125619/Bryum_gemmiparum/
Bryum muehlenbeckii,https://guides.nynhp.org/status/2.123887/,Muehlenbeck's Thread Moss,Bryopsida,Bryales,Bryaceae (bryum moss family),G4G5,S2,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123887/Bryum_muehlenbeckii/
Bryum tenuisetum,https://guides.nynhp.org/status/2.123972/,Yellow-gemmae Thread Moss,Bryopsida,Bryales,Bryaceae (bryum moss family),G3G5,SH,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123972/Bryum_tenuisetum/
Bryum uliginosum,https://guides.nynhp.org/status/2.125275/,Bog Thread Moss,Bryopsida,Bryales,Bryaceae (bryum moss family),G3G5,SH,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125275/Bryum_uliginosum/
Bryum weigelii,https://guides.nynhp.org/status/2.123095/,Duval's Thread Moss,Bryopsida,Bryales,Bryaceae (bryum moss family),G5,SH,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.123095/Bryum_weigelii/
Bubo scandiacus,https://guides.nynhp.org/status/2.103975/,Snowy Owl,Aves (Birds),Strigiformes (Owls),Strigidae (Typical Owls),G4,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103975/Bubo_scandiacus/
Bubo virginianus,https://guides.nynhp.org/status/2.770876/,Great Horned Owl,Aves (Birds),Strigiformes (Owls),Strigidae (Typical Owls),G5,S5,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.770876/Bubo_virginianus/
Bucephala albeola,https://guides.nynhp.org/status/2.104714/,Bufflehead,Aves (Birds),Anseriformes (Waterfowl),Anatidae,G5,SNRN,,Protected Bird - Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104714/Bucephala_albeola/
Bucephala clangula,https://guides.nynhp.org/status/2.101051/,Common Goldeneye,Aves (Birds),Anseriformes (Waterfowl),Anatidae,G5,"S3B,SNRN",,Protected Bird - Game with open season,Yes,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101051/Bucephala_clangula/
Bucephala islandica,https://guides.nynhp.org/status/2.105817/,Barrow's Goldeneye,Aves (Birds),Anseriformes (Waterfowl),Anatidae,G5,SNRN,,Protected Bird - Game with open season,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105817/Bucephala_islandica/
Buchnera americana,https://guides.nynhp.org/status/2.1215868/,Bluehearts,Dicotyledoneae (Dicots),Scrophulariales,Orobanchaceae (Broom-Rape Family),G4?,SH,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1215868/Buchnera_americana/
Bulimnaea megasoma,https://guides.nynhp.org/status/2.113971/,Mammoth Lymnaea,Gastropoda (Gastropods),Basommatophora,Lymnaeidae,G4G5,SX,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113971/Bulimnaea_megasoma/
Buteo jamaicensis,https://guides.nynhp.org/status/2.103000/,Red-tailed Hawk,Aves (Birds),"Accipitriformes (Hawks, Kites, Eagles and allies)",Accipitridae (Hawks and Eagles),G5,S5,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103000/Buteo_jamaicensis/
Buteo lagopus,https://guides.nynhp.org/status/2.105206/,Rough-legged Hawk,Aves (Birds),"Accipitriformes (Hawks, Kites, Eagles and allies)",Accipitridae (Hawks and Eagles),G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105206/Buteo_lagopus/
Buteo lineatus,https://guides.nynhp.org/status/2.103156/,Red-shouldered Hawk,Aves (Birds),"Accipitriformes (Hawks, Kites, Eagles and allies)",Accipitridae (Hawks and Eagles),G5,S4B,,Special Concern,Yes,W,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103156/Buteo_lineatus/
Buteo platypterus,https://guides.nynhp.org/status/2.100789/,Broad-winged Hawk,Aves (Birds),"Accipitriformes (Hawks, Kites, Eagles and allies)",Accipitridae (Hawks and Eagles),G5,S5B,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100789/Buteo_platypterus/
Buteo swainsoni,https://guides.nynhp.org/status/2.105571/,Swainson's Hawk,Aves (Birds),"Accipitriformes (Hawks, Kites, Eagles and allies)",Accipitridae (Hawks and Eagles),G5,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105571/Buteo_swainsoni/
Butorides virescens,https://guides.nynhp.org/status/2.102189/,Green Heron,Aves (Birds),Pelecaniformes (Pelicans and Cormorants),"Ardeidae (Herons, Bitterns, and Egrets)",G5,S5,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102189/Butorides_virescens/
Buxbaumia minakatae,https://guides.nynhp.org/status/2.125771/,Elf Cap Moss,Bryopsida,Buxbaumiales,Buxbaumiaceae,G2G4,SH,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.125771/Buxbaumia_minakatae/
Caenis amica,https://guides.nynhp.org/status/2.108489/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Caenidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108489/Caenis_amica/
Caenis anceps,https://guides.nynhp.org/status/2.115630/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Caenidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115630/Caenis_anceps/
Caenis diminuta,https://guides.nynhp.org/status/2.111866/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Caenidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111866/Caenis_diminuta/
Caenis diminuta diminuta,https://guides.nynhp.org/status/2.742551/,,Insecta (Insects),Ephemeroptera (Mayflies),Caenidae,G5T5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.742551/Caenis_diminuta_diminuta/
Caenis hilaris,https://guides.nynhp.org/status/2.114269/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Caenidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114269/Caenis_hilaris/
Caenis latipennis,https://guides.nynhp.org/status/2.109457/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Caenidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109457/Caenis_latipennis/
Caenis macafferti,https://guides.nynhp.org/status/2.111867/,McCafferty's Small Square-gilled Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Caenidae,G5,S1S2,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111867/Caenis_macafferti/
Caenis punctata,https://guides.nynhp.org/status/2.115840/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Caenidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115840/Caenis_punctata/
Caenis tardata,https://guides.nynhp.org/status/2.115071/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Caenidae,G4G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115071/Caenis_tardata/
Cakile edentula var. lacustris,https://guides.nynhp.org/status/2.152734/,American Sea Rocket,Dicotyledoneae (Dicots),Capparales,Brassicaceae (Mustard Family),G5T3T5,S3,,Rare,,P,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152734/Cakile_edentula_var_lacustris/
Calamagrostis canadensis var. langsdorffii,https://guides.nynhp.org/status/2.152328/,Langsdorff's Bluejoint Grass,Monocotyledoneae (Monocots),Cyperales,Poaceae (Grass Family),G5T5,S1,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152328/Calamagrostis_canadensis_var_langsdorffii/
Calamagrostis perplexa,https://guides.nynhp.org/status/2.141282/,Clausen's Reed Grass,Monocotyledoneae (Monocots),Cyperales,Poaceae (Grass Family),G1,S1,,Endangered,,Y,P,https://guides.nynhp.org/wood-reed-grass/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.141282/Calamagrostis_perplexa/
Calamagrostis pickeringii,https://guides.nynhp.org/status/2.147309/,Pickering's Reed Grass,Monocotyledoneae (Monocots),Cyperales,Poaceae (Grass Family),G5,S3S4,,Rare,,P,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147309/Calamagrostis_pickeringii/
Calamagrostis porteri ssp. porteri,https://guides.nynhp.org/status/2.134381/,Porter's Reed Grass,Monocotyledoneae (Monocots),Cyperales,Poaceae (Grass Family),G4T4,S1S2,,Endangered,,Y,P,https://guides.nynhp.org/porters-reed-grass/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134381/Calamagrostis_porteri_ssp_porteri/
Calamagrostis stricta ssp. inexpansa,https://guides.nynhp.org/status/2.130808/,New England Northern Reed Grass,Monocotyledoneae (Monocots),Cyperales,Poaceae (Grass Family),G5T5,S2,,Threatened,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.130808/Calamagrostis_stricta_ssp_inexpansa/
Calamagrostis stricta ssp. stricta,https://guides.nynhp.org/status/2.132958/,Slim-stemmed Reed Grass,Monocotyledoneae (Monocots),Cyperales,Poaceae (Grass Family),G5T5,S1,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132958/Calamagrostis_stricta_ssp_stricta/
Calamospiza melanocorys,https://guides.nynhp.org/status/2.104443/,Lark Bunting,Aves (Birds),Passeriformes (Perching Birds),Passerellidae,G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104443/Calamospiza_melanocorys/
Calcarius lapponicus,https://guides.nynhp.org/status/2.100665/,Lapland Longspur,Aves (Birds),Passeriformes (Perching Birds),Calcariidae (Longspurs and Snow Buntings),G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100665/Calcarius_lapponicus/
Calcarius ornatus,https://guides.nynhp.org/status/2.105108/,Chestnut-collared Longspur,Aves (Birds),Passeriformes (Perching Birds),Calcariidae (Longspurs and Snow Buntings),G5,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105108/Calcarius_ornatus/
Calcarius pictus,https://guides.nynhp.org/status/2.103981/,Smith's Longspur,Aves (Birds),Passeriformes (Perching Birds),Calcariidae (Longspurs and Snow Buntings),G4G5,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103981/Calcarius_pictus/
Calephelis borealis,https://guides.nynhp.org/status/2.107560/,Northern Metalmark,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)",Riodinidae (Metalmarks),G3,S1,,,Yes (high priority),Y,A,https://guides.nynhp.org/northern-metalmark/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107560/Calephelis_borealis/
Calidris acuminata,https://guides.nynhp.org/status/2.105148/,Sharp-tailed Sandpiper,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G5,SNA,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105148/Calidris_acuminata/
Calidris alba,https://guides.nynhp.org/status/2.102190/,Sanderling,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G5,SNRN,,Protected Bird,Yes (potential),,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102190/Calidris_alba/
Calidris alpina,https://guides.nynhp.org/status/2.101733/,Dunlin,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101733/Calidris_alpina/
Calidris bairdii,https://guides.nynhp.org/status/2.106542/,Baird's Sandpiper,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106542/Calidris_bairdii/
Calidris canutus,https://guides.nynhp.org/status/2.100057/,Red Knot,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G4,S2S3M,Threatened,Threatened,Yes (high priority),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100057/Calidris_canutus/
Calidris canutus rufa,https://guides.nynhp.org/status/2.788148/,Rufa Red Knot,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G4T2,SNRN,Threatened,Threatened,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.788148/Calidris_canutus_rufa/
Calidris ferruginea,https://guides.nynhp.org/status/2.106365/,Curlew Sandpiper,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G5?,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106365/Calidris_ferruginea/
Calidris fuscicollis,https://guides.nynhp.org/status/2.106382/,White-rumped Sandpiper,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106382/Calidris_fuscicollis/
Calidris himantopus,https://guides.nynhp.org/status/2.100427/,Stilt Sandpiper,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100427/Calidris_himantopus/
Calidris maritima,https://guides.nynhp.org/status/2.103345/,Purple Sandpiper,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G5,SNRN,,Protected Bird,Yes,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103345/Calidris_maritima/
Calidris mauri,https://guides.nynhp.org/status/2.104028/,Western Sandpiper,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104028/Calidris_mauri/
Calidris melanotos,https://guides.nynhp.org/status/2.104343/,Pectoral Sandpiper,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104343/Calidris_melanotos/
Calidris minutilla,https://guides.nynhp.org/status/2.102217/,Least Sandpiper,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G5,SNRN,,Protected Bird,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102217/Calidris_minutilla/
Calidris pusilla,https://guides.nynhp.org/status/2.104508/,Semipalmated Sandpiper,Aves (Birds),"Charadriiformes (Gulls, Plovers, and Shorebirds)","Scolopacidae (Sandpipers, Snipes, and Relatives)",G5,SNRN,,Protected Bird,Yes (high priority),,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104508/Calidris_pusilla/
Callibaetis ferrugineus,https://guides.nynhp.org/status/2.117647/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Baetidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117647/Callibaetis_ferrugineus/
Callibaetis ferrugineus ferrugineus,https://guides.nynhp.org/status/2.742558/,,Insecta (Insects),Ephemeroptera (Mayflies),Baetidae,G5T5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.742558/Callibaetis_ferrugineus_ferrugineus/
Callibaetis fluctuans,https://guides.nynhp.org/status/2.119849/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Baetidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119849/Callibaetis_fluctuans/
Callibaetis pallidus,https://guides.nynhp.org/status/2.111635/,Pale Small Minnow Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Baetidae,G5,SH,,,,Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111635/Callibaetis_pallidus/
Callibaetis pretiosus,https://guides.nynhp.org/status/2.115558/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Baetidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115558/Callibaetis_pretiosus/
Callibaetis skokianus,https://guides.nynhp.org/status/2.120502/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Baetidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120502/Callibaetis_skokianus/
Callicera erratica,https://guides.nynhp.org/status/2.950289/,Golden Pine Fly,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G4G5,SH,,,,Y,A,https://guides.nynhp.org/golden-pine-fly/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950289/Callicera_erratica/
Callinectes sapidus,https://guides.nynhp.org/status/2.808267/,,Malacostraca (Malacostracans),Decapoda (decapods),Portunidae (Swimming Crabs),GNR,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.808267/Callinectes_sapidus/
Calliopsis andreniformis,https://guides.nynhp.org/status/2.840902/,Eastern Miner Bee,Insecta (Insects),"Hymenoptera (Bees, Wasps, Ants, Sawflies)",Andrenidae,G5,S3S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.840902/Calliopsis_andreniformis/
Callitriche hermaphroditica,https://guides.nynhp.org/status/2.132913/,Autumn Water Starwort,Dicotyledoneae (Dicots),Plantaginales,Plantaginaceae (Plantain Family),G5,S1,,Endangered,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132913/Callitriche_hermaphroditica/
Callitriche terrestris,https://guides.nynhp.org/status/2.147991/,Terrestrial Water Starwort,Dicotyledoneae (Dicots),Plantaginales,Plantaginaceae (Plantain Family),G5,S2S3,,Threatened,,Y,P,https://guides.nynhp.org/terrestrial-starwort/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147991/Callitriche_terrestris/
Callophrys augustinus,https://guides.nynhp.org/status/2.111900/,Brown Elfin,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111900/Callophrys_augustinus/
Callophrys gryneus,https://guides.nynhp.org/status/2.1115723/,Juniper Hairstreak,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G5,S4,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.1115723/Callophrys_gryneus/
Callophrys henrici,https://guides.nynhp.org/status/2.117635/,Henry's Elfin,Insecta (Insects),"Lepidoptera (Butterflies, Skippers, and Moths)","Lycaenidae (Blues, Coppers, Hairstreaks, Elfins)",G5,S1,,Special Concern,Yes (high priority),Y,A,https://guides.nynhp.org/henrys-elfin/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117635/Callophrys_henrici/
