Scientific name,Status url,Primary common name,Class,Order,Family,Global conservation status rank,State conservation status rank,Federal protection,State protection,Species of greatest conservation need,Track status code,Animal / Plant,Guide url,NatureServe Explorer
Rhinanthus minor ssp. groenlandicus,https://guides.nynhp.org/status/2.133796/,Arctic Yellow Rattle,Dicotyledoneae (Dicots),Scrophulariales,Orobanchaceae (Broom-Rape Family),G5T5,S1,,,,Y,P,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133796/Rhinanthus_minor_ssp_groenlandicus/
Rhingia nasica,https://guides.nynhp.org/status/2.950669/,,Insecta (Insects),Diptera (Flies and Keds),Syrphidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.950669/Rhingia_nasica/
Rhinichthys atratulus,https://guides.nynhp.org/status/2.828296/,Blacknose Dace,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.828296/Rhinichthys_atratulus/
Rhinichthys cataractae,https://guides.nynhp.org/status/2.101847/,Longnose Dace,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,S5,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101847/Rhinichthys_cataractae/
Rhinichthys obtusus,https://guides.nynhp.org/status/2.790464/,,Actinopterygii (Ray-finned Fishes),Cypriniformes (Minnows and Suckers),Leuciscidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.790464/Rhinichthys_obtusus/
Rhionaeschna mutata,https://guides.nynhp.org/status/2.113006/,Spatterdock Darner,Insecta (Insects),Odonata (Dragonflies and Damselflies),Aeshnidae (Darners),G4,S2,,,Yes,Y,A,https://guides.nynhp.org/spatterdock-darner/,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113006/Rhionaeschna_mutata/
Rhithrogena amica,https://guides.nynhp.org/status/2.118619/,A Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Heptageniidae,G4,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118619/Rhithrogena_amica/
Rhithrogena anomala,https://guides.nynhp.org/status/2.110975/,Anomalous Flat-headed Mayfly,Insecta (Insects),Ephemeroptera (Mayflies),Heptageniidae,G3G4,S1S2,,,Yes (potential),Y,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110975/Rhithrogena_anomala/
Rhithrogena impersonata,https://guides.nynhp.org/status/2.111727/,,Insecta (Insects),Ephemeroptera (Mayflies),Heptageniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111727/Rhithrogena_impersonata/
Rhithrogena jejuna,https://guides.nynhp.org/status/2.119402/,,Insecta (Insects),Ephemeroptera (Mayflies),Heptageniidae,G5,SNR,,,,,A,,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119402/Rhithrogena_jejuna/
